track_name,artist_name,total_streams
STAY (with Justin Bieber),The Kid LAROI,"2,257,699,998"
drivers license,Olivia Rodrigo,"2,257,579,097"
MONTERO (Call Me By Your Name),Lil Nas X,"2,213,050,729"
good 4 u,Olivia Rodrigo,"2,157,669,043"
Levitating (feat. DaBaby),Dua Lipa,"1,864,552,995"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"1,816,724,367"
Kiss Me More (feat. SZA),Doja Cat,"1,762,949,953"
Blinding Lights,The Weeknd,"1,698,367,490"
Heat Waves,Glass Animals,"1,607,454,921"
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"1,594,786,241"
