entry_id,chart_date,chart_position,track_id,artist_id,track_name,artist_name,region_id,country_name,streams
18343105,2021-12-07,1,462,348,Last Christmas,Wham!,66,United Kingdom,"426,991"
18343106,2021-12-07,2,463,349,All I Want for Christmas Is You,Mariah Carey,66,United Kingdom,"413,418"
18343107,2021-12-07,3,92906,177,Easy On Me,Adele,66,United Kingdom,"386,326"
18343108,2021-12-07,4,29928,8069,It's Beginning to Look a Lot like Christmas,Michael Bublé,66,United Kingdom,"307,089"
18343109,2021-12-07,5,47977,14035,Merry Christmas Everyone,Shakin' Stevens,66,United Kingdom,"299,633"
18343110,2021-12-07,6,29944,14025,Rockin' Around The Christmas Tree,Brenda Lee,66,United Kingdom,"299,183"
18343111,2021-12-07,7,1526,985,Fairytale of New York (feat. Kirsty MacColl),The Pogues,66,United Kingdom,"294,948"
18343112,2021-12-07,8,49298,14036,Driving Home for Christmas - 2019 Remaster,Chris Rea,66,United Kingdom,"267,765"
18343113,2021-12-07,9,30009,2644,Step Into Christmas,Elton John,66,United Kingdom,"261,030"
18343114,2021-12-07,10,97753,37966,abcdefu,GAYLE,66,United Kingdom,"259,440"
18343115,2021-12-07,11,29933,14020,Do They Know It's Christmas? - 1984 Version,Band Aid,66,United Kingdom,"257,612"
18343116,2021-12-07,12,92921,198,Shivers,Ed Sheeran,66,United Kingdom,"257,391"
18343117,2021-12-07,13,29698,187,Santa Tell Me,Ariana Grande,66,United Kingdom,"251,131"
18343118,2021-12-07,14,29932,14019,It's the Most Wonderful Time of the Year,Andy Williams,66,United Kingdom,"240,743"
18343119,2021-12-07,15,98340,38151,Overseas,"D-Block Europe, Central Cee",66,United Kingdom,"234,767"
18343120,2021-12-07,16,29942,14023,Jingle Bell Rock,Bobby Helms,66,United Kingdom,"233,568"
18343121,2021-12-07,17,30457,14234,I Wish It Could Be Christmas Everyday,Wizzard,66,United Kingdom,"229,116"
18343122,2021-12-07,18,29955,7283,Underneath the Tree,Kelly Clarkson,66,United Kingdom,"228,614"
18343123,2021-12-07,19,92968,36153,Coming for You (feat. A1 x J1),SwitchOTR,66,United Kingdom,"226,615"
18343124,2021-12-07,20,98422,38174,Merry Christmas,"Ed Sheeran, Elton John",66,United Kingdom,"222,567"
18343125,2021-12-07,21,92714,36079,Cold Heart - PNAU Remix,"Elton John, Dua Lipa",66,United Kingdom,"220,001"
18343126,2021-12-07,22,13156,3143,Heat Waves,Glass Animals,66,United Kingdom,"216,605"
18343127,2021-12-07,23,36145,198,Bad Habits,Ed Sheeran,66,United Kingdom,"215,518"
18343128,2021-12-07,24,36143,3700,STAY (with Justin Bieber),The Kid LAROI,66,United Kingdom,"214,940"
18343129,2021-12-07,25,72815,15941,Seventeen Going Under,Sam Fender,66,United Kingdom,"214,344"
18343130,2021-12-07,26,76482,12114,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,66,United Kingdom,"208,942"
18343131,2021-12-07,27,96633,25691,Flowers (Say My Name),ArrDee,66,United Kingdom,"198,757"
18343132,2021-12-07,28,72980,29118,Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",66,United Kingdom,"191,834"
18343133,2021-12-07,29,29941,8599,Sleigh Ride,The Ronettes,66,United Kingdom,"189,205"
18343134,2021-12-07,30,64664,4887,good 4 u,Olivia Rodrigo,66,United Kingdom,"184,987"
18343135,2021-12-07,31,30455,5477,One More Sleep,Leona Lewis,66,United Kingdom,"182,903"
18343136,2021-12-07,32,30184,14135,Merry Xmas Everybody,Slade,66,United Kingdom,"182,594"
18343137,2021-12-07,33,29939,8069,Holly Jolly Christmas,Michael Bublé,66,United Kingdom,"172,757"
18343138,2021-12-07,34,98197,177,Oh My God,Adele,66,United Kingdom,"167,708"
18343139,2021-12-07,35,98200,177,I Drink Wine,Adele,66,United Kingdom,"164,700"
18343140,2021-12-07,36,36142,6804,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,66,United Kingdom,"164,141"
18343141,2021-12-07,37,29992,14047,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,66,United Kingdom,"163,320"
18343142,2021-12-07,38,98357,19869,Make You Smile,"D-Block Europe, AJ Tracey",66,United Kingdom,"162,571"
18343143,2021-12-07,39,92964,36149,Do It To It,"ACRAZE, Cherish",66,United Kingdom,"159,579"
