artist_name,unique_song_count
Jul,232
BTS,161
Taylor Swift,156
Die drei ???,138
TWICE,119
Drake,119
Ed Sheeran,111
Future,106
Djadja & Dinaz,102
Kontra K,91
Ninho,91
Tory Lanez,88
Ufo361,86
Juice WRLD,84
ARASHI,83
Trippie Redd,82
Logic,77
YoungBoy Never Broke Again,76
Sevn Alias,75
PLK,75
Eminem,75
Naps,74
Luciano,74
Kim Larsen,73
SCH,73
Coldplay,73
Lijpe,73
Niro,70
Kollegah,70
Hamza,69
Kaaris,69
Maluma,69
Mayday,67
Capital Bra,67
RK,66
Ariana Grande,66
Damso,66
NCT 127,65
Hornet La Frappe,65
Lil Uzi Vert,65
Timal,65
Ant Wan,64
Leto,64
Luis Miguel,64
Linkin Park,63
ONE OK ROCK,63
Henrique & Juliano,63
D-Block Europe,63
Gusttavo Lima,62
GIMS,62
